shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.634357,-106.52243,302,4867.27552667
p_914339,39.634322,-106.522445,303,4871.36929546
p_914339,39.634304,-106.522451,304,4873.43310355
p_914339,39.634282,-106.522453,305,4875.88173799
p_914339,39.634261,-106.522451,306,4878.21963105
p_914339,39.63424,-106.522446,307,4880.59039261
p_914339,39.634223,-106.522436,308,4882.66392199
p_914339,39.6342,-106.522427,309,4885.33188168
p_914339,39.634183,-106.522411,310,4887.66623817
p_914339,39.63416,-106.5224,311,4890.38888456
p_914339,39.634121,-106.522394,312,4894.74949
p_914339,39.63408,-106.522386,313,4899.3531382
p_914339,39.634048,-106.52237,314,4903.16229394
p_914339,39.63401,-106.522357,315,4907.52645302
p_914339,39.633953,-106.52234,316,4914.02112323
p_914339,39.633916,-106.522339,317,4918.13004158
p_914339,39.633847,-106.522342,318,4925.79527419
p_914339,39.633392,-106.522341,319,4976.31290524
p_914339,39.633172,-106.522336,320,5000.74274718
p_914339,39.632952,-106.522309,321,5025.27855103
p_914339,39.6327,-106.522278,322,5053.38378932
p_914339,39.632397,-106.522329,323,5087.30886475
p_914339,39.632321,-106.522313,324,5095.85803076
p_914339,39.632291,-106.522144,325,5110.74412803
p_914339,39.632274,-106.52207,326,5117.37149635
p_914339,39.632254,-106.521995,327,5124.18240747
p_914339,39.632236,-106.521893,328,5133.16428478
p_914339,39.632213,-106.521826,329,5139.45762583
p_914339,39.632183,-106.521728,330,5148.50629612
p_914339,39.632144,-106.521608,331,5159.68133404
p_914339,39.632037,-106.521356,332,5184.3628244
p_914339,39.631895,-106.521022,333,5217.08539815
p_914339,39.631816,-106.520857,334,5233.74646055
p_914339,39.631748,-106.520628,335,5254.80612095
p_914339,39.631729,-106.520481,336,5267.60128614
p_914339,39.631704,-106.520303,337,5283.13277549
p_914339,39.631647,-106.520002,338,5309.73755383
p_914339,39.631451,-106.519458,339,5361.26158794
p_914339,39.631415,-106.519319,340,5373.8464984
p_914339,39.631353,-106.519119,341,5392.34522674
p_914339,39.631241,-106.518796,342,5422.73574645
p_914339,39.631205,-106.518585,343,5441.28612977
p_914339,39.631031,-106.517153,344,5565.73422315
p_914339,39.630995,-106.51704,345,5576.22660456
p_914339,39.630961,-106.516899,346,5588.90664917
p_914339,39.6309,-106.516713,347,5606.25197108
p_914339,39.630838,-106.516536,348,5622.93421616
p_914339,39.630682,-106.516076,349,5666.05735756
p_914339,39.630606,-106.515848,350,5687.37294843
p_914339,39.630512,-106.515584,351,5712.3253955
p_914339,39.630451,-106.515398,352,5729.67081223
p_914339,39.630314,-106.515118,353,5758.11772039
p_914339,39.63023,-106.514702,354,5795.03004105
p_914339,39.630129,-106.514429,355,5821.01232894
p_914339,39.62992,-106.51385,356,5875.87060297
p_914339,39.629591,-106.512872,357,5967.43661827
p_914339,39.629443,-106.512455,358,6006.82849516
p_914339,39.629313,-106.512119,359,6039.08479923
p_914339,39.629155,-106.512201,360,6057.98707022
p_914339,39.628724,-106.512459,361,6110.71786077
p_914339,39.628656,-106.512495,362,6118.87588572
p_914339,39.6286,-106.512529,363,6125.74456164
p_914339,39.628535,-106.512563,364,6133.52935078
p_914339,39.628423,-106.512646,365,6147.86149687
p_914339,39.62825,-106.51264,366,6167.07616055
p_914339,39.628089,-106.512668,367,6185.11250835
p_914339,39.627773,-106.512711,368,6220.3908951
p_914339,39.627708,-106.512737,369,6227.94502964
p_914339,39.627649,-106.51278,370,6235.46434064
p_914339,39.62763,-106.512842,371,6241.19016819
p_914339,39.627748,-106.513209,372,6275.31442755
p_914339,39.628003,-106.513932,373,6343.5397941
p_914339,39.628161,-106.51436,374,6384.25844411
p_914339,39.6283,-106.514716,375,6418.49813751
p_914339,39.628423,-106.515031,376,6448.79487177
p_914339,39.62852,-106.515283,377,6472.96256234
p_914339,39.628717,-106.515764,378,6519.69339052
p_914339,39.628895,-106.516192,379,6561.41650824
p_914339,39.629007,-106.516475,380,6588.71052921
p_914339,39.629269,-106.517089,381,6648.91839651
p_914339,39.62941,-106.517396,382,6679.57410632
p_914339,39.629551,-106.517717,383,6711.26912447
p_914339,39.629653,-106.517879,384,6729.2048696
p_914339,39.629699,-106.518118,385,6750.34988421
p_914339,39.629781,-106.518371,386,6773.90161823
p_914339,39.629854,-106.518652,387,6799.35146221
p_914339,39.630123,-106.51936,388,6867.07653671
p_914339,39.630453,-106.520218,389,6949.34709527
p_914339,39.630702,-106.520917,390,7015.41963349
p_914339,39.630792,-106.521223,391,7043.52658278
p_914339,39.630997,-106.521977,392,7112.14376627
p_914339,39.63107,-106.522246,393,7136.61883173
p_914339,39.631165,-106.522406,394,7153.93751778
p_914339,39.631216,-106.522449,395,7160.69701837
p_914339,39.631293,-106.522617,396,7177.46339815
p_914339,39.63123,-106.522784,397,7193.41586481
p_914339,39.631257,-106.523104,398,7221.05139158
p_914339,39.631284,-106.523315,399,7239.41240454
p_914339,39.631336,-106.52366,400,7269.58856634
p_914339,39.631388,-106.524024,401,7301.36728023
